direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2026-03-24T16:20:13.576000,2026-03-24T16:28:09.348000,24293.2500,24445.2500,302.96,1.04,-3.00,509.00,long,reverse
short,1,2026-03-24T16:28:09.348000,2026-03-24T16:39:28.968000,24445.2500,24498.0000,-106.54,1.04,-109.50,97.00,short,reverse
long,1,2026-03-24T16:39:28.976000,2026-03-24T16:42:26.324000,24500.7500,24436.2500,-130.04,1.04,-130.00,74.00,long,reverse
short,1,2026-03-24T16:42:26.332000,2026-03-24T20:38:49.688000,24435.0000,24478.2500,-87.54,1.04,-88.00,120.00,short,reverse
long,1,2026-03-24T20:38:49.688000,2026-03-24T20:39:17.428000,24478.2500,24493.5000,29.46,1.04,-0.50,31.50,long,eod
short,1,2026-03-25T14:41:01.724000,2026-03-25T20:22:23.748000,24393.2500,24384.2500,16.96,1.04,-21.50,219.00,short,reverse
long,1,2026-03-25T20:22:23.756000,2026-03-25T20:54:53.044000,24385.0000,24348.7500,-73.54,1.04,-72.50,50.00,long,eod
short,1,2026-03-26T13:42:48.412000,2026-03-26T16:11:43.872000,23933.0000,23859.5000,145.96,1.04,-4.00,342.00,short,reverse
long,1,2026-03-26T16:11:43.872000,2026-03-26T16:12:12.984000,23859.5000,23920.7500,121.46,1.04,0.00,330.00,long,reverse
short,1,2026-03-26T16:12:21.292000,2026-03-26T20:45:40.984000,23921.7500,23807.5000,227.46,1.04,-30.50,230.50,short,eod
long,1,2026-03-29T18:22:22.748000,2026-03-29T19:32:19.864000,23237.5000,23141.0000,-194.04,1.04,-193.00,9.00,long,reverse
short,1,2026-03-29T19:32:20.256000,2026-03-29T20:19:31.280000,23140.2500,23197.0000,-114.54,1.04,-113.50,93.00,short,reverse
long,1,2026-03-29T20:19:31.280000,2026-03-29T20:40:32.996000,23197.0000,23160.0000,-75.04,1.04,-74.00,132.00,long,reverse
short,1,2026-03-29T20:40:34.612000,2026-03-29T20:54:03.892000,23159.0000,23130.7500,55.46,1.04,-26.50,58.00,short,eod
long,1,2026-03-30T13:44:47.148000,2026-03-30T14:46:17.100000,23230.7500,23153.0000,-156.54,1.04,-158.00,46.50,long,reverse
short,1,2026-03-30T14:47:17.368000,2026-03-30T15:51:41.368000,23150.7500,23125.7500,48.96,1.04,-21.00,253.00,short,reverse
long,1,2026-03-30T15:51:42.940000,2026-03-30T19:04:03.736000,23126.7500,23063.7500,-127.04,1.04,-126.00,76.50,long,reverse
short,1,2026-03-30T19:04:03.740000,2026-03-30T20:38:48.172000,23062.7500,23061.7500,0.96,1.04,-41.50,204.50,short,reverse
long,1,2026-03-30T20:38:49.472000,2026-03-30T20:53:39.592000,23062.7500,23241.5000,356.46,1.04,-24.50,443.50,long,eod
short,1,2026-03-31T16:04:17.480000,2026-03-31T19:29:28.224000,23874.2500,23972.5000,-197.54,1.04,-200.00,12.50,short,reverse
long,1,2026-03-31T19:29:28.228000,2026-03-31T20:32:23.536000,23972.5000,23993.0000,39.96,1.04,0.00,153.00,long,eod
short,1,2026-04-01T14:24:08.820000,2026-04-01T15:25:27.072000,24154.2500,24227.2500,-147.04,1.04,-146.00,59.00,short,reverse
long,1,2026-04-01T15:25:27.464000,2026-04-01T20:44:26.016000,24228.2500,24228.5000,-0.54,1.04,-148.00,51.00,long,eod
short,1,2026-04-02T13:37:14.456000,2026-04-02T14:53:36.604000,24135.2500,24165.2500,-61.04,1.04,-60.00,143.50,short,reverse
long,1,2026-04-02T15:05:48.964000,2026-04-02T20:01:53.332000,24164.7500,24254.7500,178.96,1.04,-60.00,181.00,long,eod
short,1,2026-04-05T18:00:00.104000,2026-04-05T18:39:46.096000,24093.0000,24080.2500,24.46,1.04,-14.00,224.00,short,reverse
long,1,2026-04-05T18:50:34.608000,2026-04-05T20:48:04.080000,24082.7500,24204.2500,241.96,1.04,-85.50,253.00,long,eod
short,1,2026-04-06T20:06:39.000000,2026-04-06T20:38:27.912000,24278.0000,24290.7500,-26.54,1.04,-162.50,0.00,short,eod
long,1,2026-04-07T15:18:14.788000,2026-04-07T15:26:45.104000,24178.2500,24196.2500,34.96,1.04,-8.00,237.00,long,reverse
short,1,2026-04-07T15:26:45.796000,2026-04-07T15:45:50.012000,24195.0000,24293.2500,-197.54,1.04,-196.50,9.00,short,reverse
long,1,2026-04-07T15:45:50.064000,2026-04-07T18:32:41.984000,24294.5000,24630.0000,669.96,1.04,-38.50,907.00,long,reverse
long,1,2026-04-07T18:33:04.956000,2026-04-07T20:53:24.628000,24468.5000,25101.0000,1263.96,1.04,-6.00,1267.50,long,eod
short,1,2026-04-08T14:41:10.640000,2026-04-08T15:50:00.036000,25028.5000,25037.7500,-19.54,1.04,-33.00,170.50,short,reverse
long,1,2026-04-08T15:50:00.036000,2026-04-08T20:05:38.892000,25037.7500,25000.2500,-76.04,1.04,-75.50,115.00,long,eod
short,1,2026-04-12T18:00:00.237578,2026-04-12T20:33:30.400000,25004.0000,25020.7500,-34.54,1.04,-36.50,179.00,short,reverse
long,1,2026-04-12T20:41:02.248000,2026-04-12T20:54:48.672000,25022.7500,25054.0000,61.46,1.04,-27.50,63.00,long,eod
short,1,2026-04-16T14:09:26.320000,2026-04-16T15:01:06.372000,26406.2500,26455.0000,-98.54,1.04,-99.50,102.50,short,reverse
long,1,2026-04-16T15:01:06.372000,2026-04-16T20:33:43.992000,26455.0000,26493.7500,76.46,1.04,-43.50,87.50,long,eod
short,1,2026-04-19T18:00:00.304677,2026-04-19T18:03:15.348000,26603.0000,26636.2500,-67.54,1.04,-66.00,136.50,short,reverse
long,1,2026-04-19T18:03:15.476000,2026-04-19T20:49:40.316000,26636.7500,26664.2500,53.96,1.04,-89.00,91.00,long,eod
short,1,2026-04-21T13:30:33.420000,2026-04-21T15:13:08.176000,26649.5000,26762.2500,-226.54,1.04,-232.50,15.00,short,reverse
long,1,2026-04-21T15:13:10.680000,2026-04-21T15:41:49.460000,26763.2500,26686.2500,-155.04,1.04,-154.00,50.00,long,reverse
short,1,2026-04-21T15:41:49.764000,2026-04-21T16:09:39.708000,26685.2500,26650.5000,68.46,1.04,-19.00,267.00,short,reverse
